CaseName,TotalRunningTime,RunningTime_1,RunningTime_2,RunningTime_3,RunningTime_4,RunningTime_5,RunningTime_6,DSC_AUC,NSD_AUC,DSC_Final,NSD_Final,DSC_1,DSC_2,DSC_3,DSC_4,DSC_5,DSC_6,NSD_1,NSD_2,NSD_3,NSD_4,NSD_5,NSD_6,modality,time_condition,spacing,shape,has_bbox,nb_classes
US_Cardiac_patient0189_2CH_half_sequence,10.256722927093506,1.6947412490844729,1.6823596954345703,1.7192504405975342,1.7701692581176758,1.6945135593414309,1.6956887245178225,3.424088882669251,3.504027221439672,0.8563844647230804,0.8766689504144001,0.8465217108592421,0.8554324601746175,0.8558233945087838,0.8561110781644725,0.8562459475471452,0.8563844647230804,0.8594107274454332,0.874851663435754,0.8755570147292033,0.876142946297629,0.8765669534877624,0.8766689504144001,US,False,[0.308 0.308 1.   ],"(21, 422, 512)",True,3
MR_heart-ACDC_ACDC_patient057_frame09_myo,2.5094029903411865,0.0,0.5225014686584473,0.5077033042907715,0.495795726776123,0.4881482124328613,0.4952542781829834,2.106743298338841,2.9715449999332657,0.5621354600642781,0.7515951694974189,0.0,0.482930113364896,0.5192678716490658,0.5227493261455526,0.5421933138296362,0.5621354600642781,0.0,0.7296677638850972,0.7448014065258725,0.732762164826872,0.7533499618892628,0.7515951694974189,MR,True,[ 0.703125  0.703125 10.      ],"(7, 512, 428)",False,1
CT_GTVpNCCT_segrap_0045,3.6029212474823,0.5812156200408936,0.5798568725585938,0.6103370189666748,0.5921261310577393,0.6562144756317139,0.5831711292266846,2.7679822533106413,3.149554660107839,0.6914388028028913,0.7869189835269783,0.6978934973178071,0.6937561942517344,0.6922278877778514,0.6917060668993859,0.6914508001060914,0.6914388028028913,0.7903291765922549,0.7877325121019855,0.7876057205665661,0.7876582360995938,0.7869649556271975,0.7869189835269783,CT,True,[0.54296875 0.54296875 3.        ],"(34, 512, 512)",True,1
MR_BraTS-T1c_bratsgli_0393,2.4867262840271,0.0,0.4959073066711426,0.4970192909240722,0.4696166515350342,0.5038242340087891,0.5203588008880615,0.0117734861614805,0.0,0.0072770078655893,0.0,0.0,0.0052580882769562,0.0,0.0055059380902077,0.0,0.0072770078655893,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(72, 218, 182)",False,3
MR_Head_HNTSMRG24_70_midRT_T2,10.71627140045166,1.7485151290893557,1.83380389213562,1.7289597988128662,1.8124122619628904,1.754443883895874,1.8381364345550537,3.416680976049752,3.89878167674095,0.8732820392017002,0.9928503822881226,0.7715987241626144,0.8183990090412472,0.850654305148098,0.8570628414977793,0.863123305282401,0.8732820392017002,0.8698662546523453,0.929143071150282,0.973737373121407,0.981019768819431,0.9830278080809092,0.9928503822881226,MR,False,[0.5 0.5 2. ],"(45, 512, 512)",True,3
MR_ISLES2022_DWI_sub-strokecase0142,2.7303409576416016,0.4832756519317627,0.4703938961029053,0.4410929679870605,0.446779727935791,0.4367506504058838,0.4520480632781982,3.23691234949786,3.984511598004462,0.8047538200339559,0.9962143893019328,0.8213689482470785,0.8256578947368421,0.8101694915254237,0.805414551607445,0.8061224489795918,0.8047538200339559,0.9966383870846972,0.9970774533785868,0.9954137591991254,0.9962424074574364,0.9962095100076404,0.9962143893019328,MR,True,[2. 2. 2.],"(8, 115, 115)",True,1
US_Cardiac_patient0194_4CH_half_sequence,11.100337743759155,1.7271583080291748,1.8632442951202397,1.846060276031494,1.884465217590332,1.852548360824585,1.92686128616333,3.3606573367748163,3.3500324021720718,0.8707924420731472,0.8661520026270897,0.7533849172708669,0.8109743738894967,0.8419512699104842,0.8359175255414394,0.8419051333415709,0.8707924420731472,0.7522443163727068,0.8059555454949031,0.8336215783950104,0.8364230857849999,0.8439339639310645,0.8661520026270897,US,False,[0.308 0.308 1.   ],"(23, 454, 551)",True,3
US_Cardiac_patient0226_2CH_half_sequence,11.202781677246094,1.839045524597168,1.9106557369232176,1.891176462173462,1.8810288906097408,1.873612880706787,1.8072621822357176,3.094009642001192,3.2257043661255977,0.8212125714519481,0.8366562036684938,0.6839910321845976,0.7135879283013052,0.7475989945135483,0.7612365485097649,0.8177738491012518,0.8212125714519481,0.7434084585010426,0.7699936938496726,0.7887496349529138,0.7984729801601523,0.8351568022534481,0.8366562036684938,US,False,[0.308 0.308 1.   ],"(18, 552, 669)",True,3
MR_BraTS-T1c_bratsgli_0215,2.402811050415039,0.0,0.4650523662567138,0.4834175109863281,0.4912519454956054,0.4917874336242676,0.471301794052124,0.0420829200492346,0.0,0.0106422954075744,0.0,0.0,0.0101213153881007,0.0104689612701982,0.0106067005920174,0.0106254527891813,0.0106422954075744,0.0,0.0,0.0,0.0,0.0,0.0,MR,True,[1. 1. 1.],"(82, 218, 182)",False,3
MR_ProstateADC_ADC-ProstateX-0021,2.6805975437164307,0.4354772567749023,0.4494044780731201,0.4358654022216797,0.4570939540863037,0.446599006652832,0.4561574459075928,3.617872917515111,3.703403312525514,0.9143885701428732,0.9618931148059492,0.864405083558491,0.8945999375715327,0.9004189494038027,0.9057797164667394,0.907179997787366,0.9143885701428732,0.8168053090618054,0.8913021665063167,0.9067010576274696,0.9276321705408996,0.9424724437010118,0.9618931148059492,MR,True,[2.         2.         2.99999976],"(15, 128, 84)",True,1
